fips,state_name,roc,site_group,lat,lon
4021,Arizona,Western,enhanced,32.919038,-111.367005
5007,Arkansas,Southern,provider,36.337825,-94.256187
6037,California,Western,highlow,34.196398,-118.261862
6059,California,Western,original,33.675687,-117.777207
6067,California,Western,provider,38.450011,-121.340441
6073,California,Western,enhanced,33.023604,-116.776117
8035,Colorado,Western,highlow,39.325414,-104.925987
9009,Connecticut,Eastern,provider,41.349717,-72.900204
12003,Florida,Southern,enhanced,30.324442,-82.302284
13009,Georgia,Southern,highlow,33.05949,-83.255457
15003,Hawaii,Western,enhanced,21.461365,-158.201974
17031,Illinois,Central,highlow,41.894294,-87.645455
19153,Iowa,Central,enhanced,41.684816,-93.568971
21111,Kentucky,Central,pbs,38.189532,-85.657624
22071,Louisiana,Southern,highlow,30.05342,-89.934502
23005,Maine,Eastern,enhanced,43.808348,-70.330375
24031,Maryland,Eastern,highlow,39.137381,-77.203063
25027,Massachusetts,Eastern,pbs,42.311693,-71.940282
26163,Michigan,Central,provider,42.284664,-83.261953
27081,Minnesota,Central,original,44.408238,-96.272032
27117,Minnesota,Central,original,44.015361,-96.257015
27123,Minnesota,Central,highlow,45.01525,-93.100141
27173,Minnesota,Central,original,44.715736,-95.862756
28049,Mississippi,Southern,provider,32.267788,-90.466017
29510,Missouri,Central,enhanced,38.635699,-90.244582
35061,New Mexico,Southern,enhanced,34.71684,-106.806582
36081,New York,Eastern,original,40.658566,-73.838017
37061,North Carolina,Eastern,original,34.934403,-77.933543
37063,North Carolina,Eastern,provider,36.033822,-78.87812
39035,Ohio,Central,enhanced,41.760392,-81.724217
42091,Pennsylvania,Eastern,original,40.209999,-75.370201
42107,Pennsylvania,Eastern,provider,40.703682,-76.217788
42129,Pennsylvania,Central,highlow,40.311068,-79.466688
44007,Rhode Island,Eastern,provider,41.869765,-71.578626
46011,South Dakota,Central,original,44.376675,-96.797797
47037,Tennessee,Southern,highlow,36.169129,-86.78479
48029,Texas,Southern,provider,29.448671,-98.520147
48201,Texas,Southern,pbs,29.857273,-95.393037
48277,Texas,Southern,provider,33.667263,-95.570348
49005,Utah,Western,highlow,41.734168,-111.744568
49035,Utah,Western,original,40.667883,-111.92424
53025,Washington,Western,enhanced,47.213633,-119.467788
55133,Wisconsin,Central,original,43.019308,-88.306707
